Pressure (kg/cm2),Differential Pressure,T1,T2,T3,Flow(nm3/hr),Syngas Comp RPM,% Of H2,% of N2,% of CH4,% of Ammonia ,% of Ar,Target
200,5.5,519,466,467,370000,11958,62.03,23.25,7.62,3.5,3.61,1
190,5,517,464,465,365000,11802,61.28,24.99,7.3,3.16,3.26,0
185,5.1,521,468,468,355000,11880,62.33,23.14,7.24,3.61,3.71,0
185,4.6,516,463,464,358000,11725,62.96,23.47,7.16,3.2,3.25,0
190,5.1,517,464,464,365000,11802,61.2,25.01,7.43,3.14,3.21,0
190,5.2,517,464,465,360000,11801,61.08,24.92,7.29,3.45,3.25,0
198,5.6,519,467,467,370000,11802,60.97,24.61,7.58,3.56,3.27,0
198,5.5,517,464,465,370000,11881,60.56,24.36,7.63,3.6,3.87,0
190,5,518,465,465,365000,11801,60.97,25.64,7.04,3.09,3.26,0
191,5,520,466,467,365000,11880,62.73,22.31,7.56,3.61,3.8,0
200,5.4,517,465,465,370000,11880,61.72,23.61,7.33,3.44,3.89,1
195,5.3,520,466,467,365000,11880,61.81,23.16,7.76,3.47,3.78,0
190,4.9,518,465,466,360000,11725,62.48,23.73,7.36,3.19,3.26,0
190,5.1,517,464,465,365000,11801,61.7,24.62,7.28,3.2,3.2,0
185,5.1,521,468,468,355000,11880,62.3,23.16,7.23,3.61,3.71,0
200,5.5,519,466,467,370000,11881,62.08,23.01,7.42,3.58,3.91,1
192,5.2,517,464,465,365000,11802,61.14,24.85,7.24,3.5,3.26,0
198,5.5,517,464,465,370000,11881,60.56,24.37,7.61,3.6,3.87,0
193,5,520,466,467,365000,11880,62.32,22.7,7.65,3.57,3.78,0
190,5.2,517,464,465,360000,11801,61.07,24.91,7.31,3.43,3.27,0
195,5,517,464,465,365000,11880,61.59,23.64,7.39,3.47,3.96,0
200,5.5,519,465,466,365000,11881,62.42,22.41,7.83,3.6,3.76,1
200,5.6,518,465,466,370000,11881,60.89,24.06,7.59,3.5,3.94,1
200,5.3,519,467,468,370000,11881,62.3,22.74,7.5,3.57,3.88,1
195,5.5,519,467,467,370000,11802,60.74,25.01,7.38,3.59,3.28,0
190,5,517,464,465,365000,11802,61.27,25,7.3,3.18,3.26,0
195,5.3,520,466,467,365000,11880,61.82,23.15,7.75,3.48,3.79,0
198,5,518,464,465,370000,11881,63.39,21.51,7.59,3.59,3.9,0
191,5.1,518,465,466,365000,11880,62.37,23.62,7.31,3.2,3.49,0
192,5.5,517,466,467,365000,11880,60.37,25.05,7.37,3.42,3.81,0
190,5,516,463,464,360000,11802,61.5,24.57,7.46,3.2,3.27,0
190,4.9,518,465,466,365000,11802,62.76,23.31,7.43,3.21,3.29,0
190,4.9,518,465,466,360000,11725,62.47,23.73,7.34,3.19,3.25,0
195,5.2,518,464,465,365000,11880,62.26,22.94,7.73,3.41,3.66,0
195,5.3,520,466,467,365000,11880,61.82,23.17,7.77,3.49,3.77,0
200,5.6,518,465,466,370000,11881,60.91,24.05,7.6,3.48,3.95,1
198,5.6,519,467,467,370000,11802,60.98,24.62,7.55,3.57,3.29,0
200,5.4,517,465,465,370000,11880,61.72,23.62,7.36,3.46,3.88,1
200,5.5,518,466,467,370000,11958,61.91,23.55,7.53,3.41,3.59,1
195,5.2,518,464,465,365000,11880,62.25,22.93,7.75,3.43,3.67,0
195,5.5,519,467,467,370000,11802,60.74,25.01,7.41,3.61,3.27,0
200,5.5,518,466,465,365000,11881,61.18,23.93,7.58,3.57,3.73,1
195,5,517,464,465,365000,11880,61.58,23.63,7.4,3.45,3.94,0
190,5.1,518,466,466,360000,11880,62.1,23.02,7.6,3.6,3.67,0
191,5,520,466,467,365000,11880,62.72,22.31,7.55,3.61,3.79,0
198,5.6,519,467,467,370000,11802,60.95,24.61,7.56,3.61,3.29,0
200,5.4,517,465,465,370000,11880,61.72,23.6,7.35,3.44,3.88,1
190,5,517,464,465,365000,11802,61.27,24.98,7.29,3.17,3.25,0
200,5.5,518,466,466,365000,11881,61.74,22.97,7.91,3.59,3.79,1
190,5.1,517,464,465,365000,11801,61.7,24.61,7.28,3.18,3.21,0
190,4.5,518,464,465,360000,11725,64.2,21.71,7.34,3.48,3.24,0
195,5,518,464,465,365000,11801,61.96,23.86,7.34,3.54,3.29,0
195,5.1,518,465,466,365000,11801,64.29,21.72,7.2,3.54,3.22,0
190,4.5,518,464,465,360000,11725,64.2,21.72,7.34,3.5,3.24,0
200,5.5,519,466,467,370000,11881,62.09,22.98,7.41,3.59,3.89,1
195,5.1,518,465,466,365000,11801,64.31,21.72,7.19,3.57,3.21,0
190,5.1,517,464,464,365000,11802,61.2,25,7.43,3.15,3.22,0
195,5,518,465,466,365000,11801,62,23.58,7.56,3.61,3.28,0
198,5.4,517,466,467,365000,11802,60.91,24.71,7.39,3.38,3.6,0
197,5.3,517,466,466,365000,11801,61.3,24.3,7.5,3.36,3.56,0
190,4.9,518,465,466,365000,11802,62.76,23.32,7.44,3.23,3.29,0
190,5,517,464,465,365000,11802,61.29,24.97,7.31,3.17,3.25,0
190,4.8,518,465,466,360000,11725,62.39,23.76,7.14,3.47,3.25,0
195,5,517,464,465,365000,11880,61.59,23.62,7.38,3.46,3.96,0
185,4.6,516,463,464,358000,11725,62.95,23.46,7.16,3.21,3.23,0
196,5.5,518,465,466,365000,11802,61.39,24.12,7.48,3.41,3.6,0
200,5.3,519,467,468,370000,11881,62.29,22.75,7.48,3.58,3.89,1
190,4.9,518,465,466,365000,11802,62.74,23.32,7.43,3.21,3.29,0
197,5.3,517,466,466,365000,11801,61.3,24.3,7.5,3.35,3.57,0
192,5.5,517,466,467,365000,11880,60.35,25.03,7.38,3.43,3.79,0
185,4.6,516,463,464,358000,11725,62.94,23.46,7.13,3.2,3.25,0
196,5.5,517,465,466,365000,11880,60.96,24.1,7.72,3.46,3.78,0
191,5.1,518,465,466,365000,11880,62.38,23.64,7.32,3.2,3.52,0
200,5.5,518,466,466,365000,11881,61.75,22.98,7.9,3.6,3.79,1
192,5.2,517,464,465,365000,11802,61.15,24.85,7.26,3.49,3.25,0
200,5.3,519,467,468,370000,11881,62.3,22.74,7.49,3.58,3.87,1
200,5.9,518,465,466,370000,11658,59.76,26.36,6.96,3.38,3.55,1
195,5,518,465,466,365000,11801,62,23.58,7.57,3.58,3.24,0
195,5.1,518,465,466,365000,11801,64.3,21.75,7.2,3.54,3.21,0
198,5.6,519,467,467,370000,11802,60.97,24.62,7.56,3.57,3.29,0
198,5,518,464,465,370000,11881,63.41,21.5,7.61,3.59,3.93,0
200,5.9,518,465,466,370000,11658,59.77,26.36,6.95,3.37,3.53,1
195,5.1,518,465,466,365000,11801,64.31,21.73,7.2,3.54,3.21,0
200,5.3,519,467,468,370000,11881,62.28,22.75,7.49,3.58,3.88,1
198,5,518,464,465,370000,11881,63.39,21.5,7.6,3.57,3.91,0
190,5.1,518,466,466,360000,11880,62.1,23.02,7.61,3.59,3.7,0
195,5.5,519,467,467,370000,11802,60.74,25.01,7.38,3.61,3.27,0
190,5,516,463,464,360000,11802,61.5,24.58,7.45,3.19,3.27,0
196,5.5,517,465,466,365000,11880,60.97,24.11,7.72,3.45,3.76,0
190,5,518,465,465,365000,11801,60.96,25.64,7.08,3.09,3.24,0
200,5.5,518,466,466,365000,11881,61.75,22.98,7.91,3.61,3.81,1
190,5.1,517,464,465,365000,11801,61.71,24.62,7.26,3.19,3.22,0
192,5.2,517,464,465,365000,11802,61.12,24.83,7.26,3.49,3.25,0
200,5.7,519,466,467,370000,11958,61.29,24.26,7.49,3.4,3.56,1
200,5.3,519,467,468,370000,11881,62.3,22.74,7.52,3.58,3.89,1
190,5.2,517,464,465,360000,11801,61.08,24.9,7.32,3.44,3.28,0
190,5,518,465,465,365000,11801,60.96,25.63,7.06,3.09,3.26,0
200,5.7,519,466,467,370000,11958,61.29,24.24,7.5,3.39,3.54,1
195,5,517,464,465,365000,11880,61.59,23.63,7.41,3.45,3.94,0
200,5.5,518,466,467,370000,11958,61.9,23.55,7.54,3.41,3.61,1
190,5.1,517,464,465,365000,11801,61.72,24.61,7.28,3.2,3.21,0
198,5.4,518,465,466,370000,11881,61.85,23.1,7.55,3.5,4.01,0
195,5,518,464,465,365000,11801,61.96,23.86,7.35,3.56,3.27,0
191,5.1,518,465,466,365000,11880,62.37,23.64,7.31,3.2,3.49,0
198,5.5,517,464,465,370000,11881,60.54,24.35,7.6,3.62,3.89,0
200,5.5,519,466,467,370000,11881,62.09,22.98,7.42,3.61,3.92,1
200,5.3,519,467,468,370000,11881,62.3,22.72,7.5,3.59,3.88,1
195,5,518,464,465,365000,11801,61.97,23.87,7.36,3.56,3.28,0
198,5.6,519,467,467,370000,11802,60.98,24.6,7.57,3.58,3.27,0
195,5.3,520,466,467,365000,11880,61.83,23.14,7.75,3.47,3.77,0
195,5,517,464,465,365000,11880,61.57,23.6,7.4,3.46,3.96,0
195,5,518,465,466,365000,11801,62.01,23.57,7.58,3.59,3.27,0
200,5.4,517,465,465,370000,11880,61.75,23.62,7.35,3.45,3.87,1
190,4.8,518,465,466,360000,11725,62.39,23.77,7.14,3.49,3.23,0
190,4.8,518,465,466,360000,11725,62.39,23.77,7.14,3.47,3.23,0
190,4.8,518,465,466,360000,11725,62.37,23.76,7.14,3.48,3.23,0
190,4.8,518,465,466,360000,11725,62.36,23.76,7.15,3.47,3.24,0
200,5.9,518,465,466,370000,11658,59.75,26.36,6.95,3.38,3.55,1
190,4.5,518,464,465,360000,11725,64.21,21.73,7.34,3.48,3.25,0
192,5.5,517,466,467,365000,11880,60.39,25.05,7.37,3.45,3.8,0
185,5.1,521,468,468,355000,11880,62.3,23.12,7.23,3.6,3.69,0
198,5.4,517,466,467,365000,11802,60.89,24.71,7.42,3.39,3.6,0
190,4.8,518,465,466,360000,11725,62.38,23.77,7.15,3.48,3.24,0
192,5.5,517,466,467,365000,11880,60.37,25.02,7.38,3.42,3.79,0
